LOOK	L UH K
IF	IH F
YOU	Y UW
HAD	HH AE D
ONE	W AH N
ONE(2)	HH W AH N
SHOT	SH AA T
OR	AO R
OR(2)	ER
OPPORTUNITY	AA P ER T UW N AH T IY
TO	T UW
TO(2)	T IH
TO(3)	T AH
SEIZE	S IY Z
EVERYTHING	EH V R IY TH IH NG
EVER	EH V ER
WANTED	W AO N T IH D
IN	IH N
MOMENT	M OW M AH N T
WOULD	W UH D
CAPTURE	K AE P CH ER
IT	IH T
JUST	JH AH S T
JUST(2)	JH IH S T
LET	L EH T
SLIP	S L IH P
YO	Y OW
HIS	HH IH Z
PALMS	P AA M Z
PALMS(2)	P AA L M Z
ARE	AA R
ARE(2)	ER
SWEATY	S W EH T IY
KNEES	N IY Z
WEAK	W IY K
ARMS	AA R M Z
HEAVY	HH EH V IY
THERE'S	DH EH R Z
VOMIT	V AA M AH T
ON	AA N
ON(2)	AO N
SWEATER	S W EH T ER
ALREADY	AO L R EH D IY
ALREADY(2)	AO R EH D IY
MOM'S	M AA M Z
SPAGHETTI	S P AH G EH T IY
HE'S	HH IY Z
NERVOUS	N ER V AH S
BUT	B AH T
THE	DH AH
THE(2)	DH IY
SURFACE	S ER F AH S
HE	HH IY
LOOKS	L UH K S
CALM	K AA M
CALM(2)	K AA L M
AND	AH N D
AND(2)	AE N D
READY	R EH D IY
DROP	D R AA P
DROP(2)	D R AO P
BOMBS	B AA M Z
KEEPS	K IY P S
FORGETTING	F ER G EH T IH NG
FORGETTING(2)	F AO R G EH T IH NG
WHAT	W AH T
WHAT(2)	HH W AH T
WROTE	R OW T
DOWN	D AW N
WHOLE	HH OW L
CROWD	K R AW D
GOES	G OW Z
SO	S OW
LOUD	L AW D
OPENS	OW P AH N Z
MOUTH	M AW TH
WORDS	W ER D Z
WON'T	W OW N T
COME	K AH M
OUT	AW T
CHOKING	CH OW K IH NG
HOW	HH AW
EVERYBODY'S	EH V R IY B AA D IY Z
JOKING	JH OW K IH NG
NOW	N AW
CLOCK'S	K L AA K S
RUN	R AH N
TIME'S	T AY M Z
UP	AH P
OVER	OW V ER
BLOAH	B L OW AH
SNAP	S N AE P
BACK	B AE K
REALITY	R IY AE L AH T IY
OH	OW
THERE	DH EH R
GRAVITY	G R AE V AH T IY
GRAVITY(2)	G R AE V IH T IY
RABBIT	R AE B AH T
RABBIT(2)	R AE B IH T
CHOKED	CH OW K T
MAD	M AE D
GIVE	G IH V
THAT	DH AE T
THAT(2)	DH AH T
EASY	IY Z IY
NO	N OW
HAVE	HH AE V
KNOWS	N OW Z
BACK'S	B AE K S
THESE	DH IY Z
ROPES	R OW P S
DON'T	D OW N T
DON'T(2)	D OW N
MATTER	M AE T ER
DOPE	D OW P
BROKE	B R OW K
STAGNANT	S T AE G N AH N T
WHEN	W EH N
WHEN(2)	HH W EH N
WHEN(3)	W IH N
WHEN(4)	HH W IH N
MOBILE	M OW B AH L
HOME	HH OW M
THAT'S	DH AE T S
IT'S	IH T S
LAB	L AE B
AGAIN	AH G EH N
AGAIN(2)	AH G EY N
THIS	DH IH S
RHAPSODY	R AE P S AH D IY
BETTER	B EH T ER
GO	G OW
HOPE	HH OW P
PASS	P AE S
HIM	HH IH M
HIM(2)	IH M
LOSE	L UW Z
YOURSELF	Y ER S EH L F
YOURSELF(2)	Y UH R S EH L F
YOURSELF(3)	Y AO R S EH L F
MUSIC	M Y UW Z IH K
OWN	OW N
NEVER	N EH V ER
ONLY	OW N L IY
GET	G EH T
GET(2)	G IH T
DO	D UW
NOT	N AA T
MISS	M IH S
YOUR	Y AO R
YOUR(2)	Y UH R
CHANCE	CH AE N S
BLOW	B L OW
COMES	K AH M Z
ONCE	W AH N S
A	AH
A(2)	EY
LIFETIME	L AY F T AY M
SOUL'S	S OW L Z
ESCAPING	IH S K EY P IH NG
THROUGH	TH R UW
HOLE	HH OW L
GAPING	G EY P IH NG
WORLD	W ER L D
IS	IH Z
MINE	M AY N
FOR	F AO R
FOR(2)	F ER
FOR(3)	F R ER
TAKING	T EY K IH NG
MAKE	M EY K
ME	M IY
KING	K IH NG
AS	AE Z
AS(2)	EH Z
WE	W IY
MOVE	M UW V
TOWARD	T AH W AO R D
TOWARD(2)	T AO R D
NEW	N UW
NEW(2)	N Y UW
ORDER	AO R D ER
NORMAL	N AO R M AH L
LIFE	L AY F
BORIN	B AO R IH N
SUPERSTARDOM'S	S UW P ER S T AA R D AH M Z
CLOSE	K L OW S
CLOSE(2)	K L OW Z
POST	P OW S T
MORTAR	M AO R T ER
GROWS	G R OW Z
HARDER	HH AA R D ER
HOTTER	HH AA T ER
BLOWS	B L OW Z
US	AH S
US(2)	Y UW EH S
ALL	AO L
HOES	HH OW Z
COAST	K OW S T
SHOWS	SH OW Z
KNOW	N OW
GLOBETROTTER	G L OW B T R AO T ER
LONELY	L OW N L IY
ROADS	R OW D Z
GOD	G AA D
GROWN	G R OW N
FARTHER	F AA R DH ER
FROM	F R AH M
FATHER	F AA DH ER
BARELY	B EH R L IY
DAUGHTER	D AO T ER
HOLD	HH OW L D
NOSE	N OW Z
CUZ	K AH Z
HERE	HH IY R
COLD	K OW L D
WATER	W AO T ER
WANT	W AA N T
WANT(2)	W AO N T
MO	M OW
PRODUCT	P R AA D AH K T
THEY	DH EY
MOVED	M UW V D
NEXT	N EH K S T
NEXT(2)	N EH K S
SCHMOE	S K M OW
WHO	HH UW
FLOWS	F L OW Z
DOVE	D AH V
DOVE(2)	D OW V
SOLD	S OW L D
NADA	N AA D AA
SOAP	S OW P
OPERA	AA P R AH
TOLD	T OW L D
UNFOLDS	AH N F OW L D Z
I	AY
SUPPOSE	S AH P OW Z
OLD	OW L D
POTNA	P AA T N AH
BEAT	B IY T
DA	D AA
DA(2)	D IY EY
DUM	D AH M
MORE	M AO R
GAMES	G EY M Z
I'MA	IH M AH
CHANGE	CH EY N JH
CALL	K AO L
RAGE	R EY JH
TEAR	T EH R
TEAR(2)	T IH R
MOTHAFUCKIN	M AO TH AH F AH K IH N
ROOF	R UW F
ROOF(2)	R UH F
OFF	AO F
LIKE	L AY K
2	T UW
DOGS	D AA G Z
DOGS(2)	D AO G Z
CAGED	K EY JH D
WAS	W AA Z
PLAYIN	P L EY IH N
BEGINNIN	B EH G IH N IH N
MOOD	M UW D
CHANGED	CH EY N JH D
BEEN	B IH N
BEEN(2)	B AH N
CHEWED	CH UW D
SPIT	S P IH T
BOOED	B UW D
STAGE	S T EY JH
KEPT	K EH P T
KEPT(2)	K AE P T
RHYMIN	R IH M AH N
STEPWRITIN	S T EH P R IH T IH N
CYPHER	S AY F ER
BEST	B EH S T
BELIEVE	B IH L IY V
SOMEBODY'S	S AH M B AA D IY Z
PAYIN	P EY IH N
PIED	P AY D
PIPER	P AY P ER
PAIN	P EY N
INSIDE	IH N S AY D
AMPLIFIED	AE M P L AH F AY D
BY	B AY
FACT	F AE K T
CAN'T	K AE N T
WITH	W IH DH
WITH(2)	W IH TH
MY	M AY
9	N AY N
5	F AY V
PROVIDE	P R AH V AY D
RIGHT	R AY T
TYPE	T AY P
OF	AH V
FAMILY	F AE M AH L IY
FAMILY(2)	F AE M L IY
MAN	M AE N
GODDAM	G AA D D AE M
FOOD	F UW D
STAMPS	S T AE M P S
BUY	B AY
DIAPERS	D AY AH P ER Z
DIAPERS(2)	D AY P ER Z
MOVIE	M UW V IY
MEKHI	M EH K IY
PHIFER	F AY F ER
TIMES	T AY M Z
HARD	HH AA R D
GETTING	G EH T IH NG
GETTING(2)	G IH T IH NG
EVEN	IY V IH N
TRYIN	T R AY IH N
FEED	F IY D
SEED	S IY D
PLUS	P L AH S
TEETER-TOTTER	T IY T ER T AA T ER
CAUGHT	K AA T
CAUGHT(2)	K AO T
BETWEEN	B IH T W IY N
BETWEEN(2)	B IY T W IY N
BEIN	B IY N
PRIMA	P R IY M AH
DONNA	D AA N AH
BABY	B EY B IY
MAMA	M AA M AH
DRAMA'S	D R AA M AH Z
SCREAMIN	S K R IY M IH N
TOO	T UW
MUCH	M AH CH
WANNA	W AA N AH
STAY	S T EY
SPOT	S P AA T
